timestamp,angle,distance,is_gap,baseline_distance
2024-11-21 20:16:37.206345,96.0,34.0,False,37.0
2024-11-21 20:16:37.315271,95.0,35.0,False,37.0
2024-11-21 20:16:37.427127,94.0,35.0,False,37.0
2024-11-21 20:16:37.537702,93.0,38.0,False,37.0
2024-11-21 20:16:37.648501,92.0,38.0,False,37.0
2024-11-21 20:16:37.759631,91.0,38.0,False,37.0
2024-11-21 20:16:37.869622,90.0,38.0,False,37.0
2024-11-21 20:16:37.996122,90.0,37.0,False,37.0
2024-11-21 20:16:38.107691,89.0,37.0,False,37.0
2024-11-21 20:16:38.217412,88.0,38.0,False,37.0
2024-11-21 20:16:38.328702,87.0,38.0,False,37.0
2024-11-21 20:16:38.452047,86.0,37.0,False,37.0
2024-11-21 20:16:38.560543,85.0,37.0,False,37.0
2024-11-21 20:16:38.661185,84.0,37.0,False,37.0
2024-11-21 20:16:38.762711,83.0,37.0,False,37.0
2024-11-21 20:16:38.875251,82.0,37.0,False,37.0
2024-11-21 20:16:38.986115,81.0,37.0,False,37.0
2024-11-21 20:16:39.091623,80.0,37.0,False,37.0
2024-11-21 20:16:39.212146,79.0,38.0,False,37.0
2024-11-21 20:16:39.320767,78.0,38.0,False,37.0
2024-11-21 20:16:39.431817,77.0,38.0,False,37.0
2024-11-21 20:16:39.542847,76.0,38.0,False,37.0
2024-11-21 20:16:39.652303,75.0,38.0,False,37.0
2024-11-21 20:16:40.863009,75.0,37.0,False,37.0
2024-11-21 20:16:40.976206,76.0,37.0,False,37.0
2024-11-21 20:16:41.085364,77.0,37.0,False,37.0
2024-11-21 20:16:41.195885,78.0,38.0,False,37.0
2024-11-21 20:16:41.306699,79.0,38.0,False,37.0
2024-11-21 20:16:41.416575,80.0,38.0,False,37.0
2024-11-21 20:16:41.528200,81.0,38.0,False,37.0
2024-11-21 20:16:41.639150,82.0,38.0,False,37.0
2024-11-21 20:16:41.748127,83.0,37.0,False,37.0
2024-11-21 20:16:41.858362,84.0,37.0,False,37.0
2024-11-21 20:16:41.967360,85.0,37.0,False,37.0
2024-11-21 20:16:42.094582,86.0,37.0,False,37.0
2024-11-21 20:16:42.204459,87.0,37.0,False,37.0
2024-11-21 20:16:42.314476,88.0,37.0,False,37.0
2024-11-21 20:16:42.419774,89.0,37.0,False,37.0
2024-11-21 20:16:42.550775,90.0,37.0,False,37.0
2024-11-21 20:16:42.676997,90.0,37.0,False,37.0
2024-11-21 20:16:42.788537,91.0,37.0,False,37.0
2024-11-21 20:16:42.912085,92.0,37.0,False,37.0
2024-11-21 20:16:43.023686,93.0,37.0,False,37.0
2024-11-21 20:16:43.132395,94.0,38.0,False,37.0
2024-11-21 20:16:43.243907,95.0,38.0,False,37.0
2024-11-21 20:16:43.354828,96.0,38.0,False,37.0
2024-11-21 20:16:43.467367,97.0,35.0,False,37.0
2024-11-21 20:16:43.576209,98.0,35.0,False,37.0
2024-11-21 20:16:43.701682,99.0,35.0,False,37.0
2024-11-21 20:16:43.811204,100.0,35.0,False,37.0
2024-11-21 20:16:43.921487,101.0,34.0,False,37.0
2024-11-21 20:16:44.032668,102.0,34.0,False,37.0
2024-11-21 20:16:44.144329,103.0,32.0,False,37.0
2024-11-21 20:16:44.256225,104.0,32.0,False,37.0
2024-11-21 20:16:44.365750,105.0,34.0,False,37.0
2024-11-21 20:16:45.580826,105.0,33.0,False,37.0
2024-11-21 20:16:45.690621,104.0,33.0,False,37.0
2024-11-21 20:16:45.802620,103.0,34.0,False,37.0
2024-11-21 20:16:45.915133,102.0,34.0,False,37.0
2024-11-21 20:16:46.055212,101.0,32.0,False,37.0
2024-11-21 20:16:46.165124,100.0,32.0,False,37.0
2024-11-21 20:16:46.274544,99.0,34.0,False,37.0
2024-11-21 20:16:46.384210,98.0,34.0,False,37.0
2024-11-21 20:16:46.495605,97.0,34.0,False,37.0
2024-11-21 20:16:46.602506,96.0,34.0,False,37.0
2024-11-21 20:16:46.715473,95.0,35.0,False,37.0
2024-11-21 20:16:46.826241,94.0,35.0,False,37.0
2024-11-21 20:16:46.936475,93.0,38.0,False,37.0
2024-11-21 20:16:47.047086,92.0,38.0,False,37.0
2024-11-21 20:16:47.157412,91.0,38.0,False,37.0
2024-11-21 20:16:47.267758,90.0,37.0,False,37.0
2024-11-21 20:16:47.376904,90.0,37.0,False,37.0
2024-11-21 20:16:47.487995,89.0,37.0,False,37.0
2024-11-21 20:16:47.600489,88.0,37.0,False,37.0
2024-11-21 20:16:47.710187,87.0,38.0,False,37.0
2024-11-21 20:16:47.822299,86.0,37.0,False,37.0
2024-11-21 20:16:47.931449,85.0,37.0,False,37.0
2024-11-21 20:16:48.042481,84.0,37.0,False,37.0
2024-11-21 20:16:48.149978,83.0,37.0,False,37.0
2024-11-21 20:16:48.265151,82.0,37.0,False,37.0
2024-11-21 20:16:48.389712,81.0,37.0,False,37.0
2024-11-21 20:16:48.515374,80.0,37.0,False,37.0
2024-11-21 20:16:48.626880,79.0,37.0,False,37.0
2024-11-21 20:16:48.754920,78.0,38.0,False,37.0
2024-11-21 20:16:48.865004,77.0,38.0,False,37.0
2024-11-21 20:16:48.976839,76.0,38.0,False,37.0
2024-11-21 20:16:49.085486,75.0,38.0,False,37.0
2024-11-21 20:16:50.267368,75.0,37.0,False,37.0
2024-11-21 20:16:50.377249,76.0,37.0,False,37.0
2024-11-21 20:16:50.489176,77.0,37.0,False,37.0
2024-11-21 20:16:50.598349,78.0,38.0,False,37.0
2024-11-21 20:16:50.710039,79.0,38.0,False,37.0
2024-11-21 20:16:50.819415,80.0,38.0,False,37.0
2024-11-21 20:16:50.929438,81.0,38.0,False,37.0
2024-11-21 20:16:51.039655,82.0,38.0,False,37.0
2024-11-21 20:16:51.149023,83.0,37.0,False,37.0
2024-11-21 20:16:51.272735,84.0,37.0,False,37.0
2024-11-21 20:16:51.377493,85.0,37.0,False,37.0
2024-11-21 20:16:51.491603,86.0,37.0,False,37.0
2024-11-21 20:16:51.602706,87.0,37.0,False,37.0
2024-11-21 20:16:51.728861,88.0,37.0,False,37.0
2024-11-21 20:16:51.838912,89.0,37.0,False,37.0
2024-11-21 20:16:51.947258,90.0,37.0,False,37.0
2024-11-21 20:16:52.055502,90.0,37.0,False,37.0
2024-11-21 20:16:52.167106,91.0,37.0,False,37.0
2024-11-21 20:16:52.277233,92.0,37.0,False,37.0
2024-11-21 20:16:52.392862,93.0,38.0,False,37.0
2024-11-21 20:16:52.493774,94.0,37.0,False,37.0
2024-11-21 20:16:52.608470,95.0,38.0,False,37.0
2024-11-21 20:16:52.718883,96.0,38.0,False,37.0
2024-11-21 20:16:52.822966,97.0,35.0,False,37.0
2024-11-21 20:16:52.929164,98.0,35.0,False,37.0
2024-11-21 20:16:53.033924,99.0,35.0,False,37.0
2024-11-21 20:16:53.133485,100.0,34.0,False,37.0
2024-11-21 20:16:53.239929,101.0,34.0,False,37.0
2024-11-21 20:16:53.350217,102.0,34.0,False,37.0
2024-11-21 20:16:53.462857,103.0,34.0,False,37.0
2024-11-21 20:16:53.587676,104.0,32.0,False,37.0
2024-11-21 20:16:53.699362,105.0,32.0,False,37.0
2024-11-21 20:16:54.880852,105.0,33.0,False,37.0
2024-11-21 20:16:54.984719,104.0,33.0,False,37.0
2024-11-21 20:16:55.123379,103.0,34.0,False,37.0
2024-11-21 20:16:55.243445,102.0,34.0,False,37.0
2024-11-21 20:16:55.350504,101.0,34.0,False,37.0
2024-11-21 20:16:55.458326,100.0,32.0,False,37.0
2024-11-21 20:16:55.559153,99.0,34.0,False,37.0
2024-11-21 20:16:55.661411,98.0,34.0,False,37.0
2024-11-21 20:16:55.764471,97.0,34.0,False,37.0
2024-11-21 20:16:55.875809,96.0,34.0,False,37.0
2024-11-21 20:16:55.989917,95.0,35.0,False,37.0
2024-11-21 20:16:56.089865,94.0,35.0,False,37.0
2024-11-21 20:16:56.203841,93.0,38.0,False,37.0
2024-11-21 20:16:56.315079,92.0,38.0,False,37.0
2024-11-21 20:16:56.425891,91.0,37.0,False,37.0
2024-11-21 20:16:56.535596,90.0,37.0,False,37.0
2024-11-21 20:16:56.648054,90.0,38.0,False,37.0
2024-11-21 20:16:56.759299,89.0,38.0,False,37.0
2024-11-21 20:16:56.870036,88.0,37.0,False,37.0
2024-11-21 20:16:56.982637,87.0,37.0,False,37.0
2024-11-21 20:16:57.091458,86.0,38.0,False,37.0
2024-11-21 20:16:57.201189,85.0,34.0,False,37.0
2024-11-21 20:16:57.311845,84.0,34.0,False,37.0
2024-11-21 20:16:57.437395,83.0,35.0,False,37.0
2024-11-21 20:16:57.547696,82.0,35.0,False,37.0
2024-11-21 20:16:57.657735,81.0,38.0,False,37.0
2024-11-21 20:16:57.771509,80.0,38.0,False,37.0
2024-11-21 20:16:57.872323,79.0,38.0,False,37.0
2024-11-21 20:16:57.989219,78.0,38.0,False,37.0
2024-11-21 20:16:58.091968,77.0,37.0,False,37.0
2024-11-21 20:16:58.196896,76.0,36.0,False,37.0
2024-11-21 20:16:58.306636,75.0,35.0,False,37.0
2024-11-21 20:16:59.514113,75.0,31.0,False,37.0
2024-11-21 20:16:59.619889,76.0,31.0,False,37.0
2024-11-21 20:16:59.722722,77.0,31.0,False,37.0
2024-11-21 20:16:59.833747,78.0,31.0,False,37.0
2024-11-21 20:16:59.939484,79.0,31.0,False,37.0
2024-11-21 20:17:00.050396,80.0,31.0,False,37.0
2024-11-21 20:17:00.166682,81.0,30.0,False,37.0
2024-11-21 20:17:00.277555,82.0,30.0,False,37.0
2024-11-21 20:17:00.387539,83.0,30.0,False,37.0
2024-11-21 20:17:00.497061,84.0,30.0,False,37.0
2024-11-21 20:17:00.604446,85.0,30.0,False,37.0
2024-11-21 20:17:00.711681,86.0,30.0,False,37.0
2024-11-21 20:17:00.811222,87.0,30.0,False,37.0
2024-11-21 20:17:00.925004,88.0,30.0,False,37.0
2024-11-21 20:17:01.051176,89.0,30.0,False,37.0
2024-11-21 20:17:01.160086,90.0,30.0,False,37.0
2024-11-21 20:17:01.270729,90.0,31.0,False,37.0
2024-11-21 20:17:01.380924,91.0,31.0,False,37.0
2024-11-21 20:17:01.490679,92.0,31.0,False,37.0
2024-11-21 20:17:01.599690,93.0,31.0,False,37.0
2024-11-21 20:17:01.710299,94.0,31.0,False,37.0
2024-11-21 20:17:01.821562,95.0,31.0,False,37.0
2024-11-21 20:17:01.930757,96.0,31.0,False,37.0
2024-11-21 20:17:02.039966,97.0,31.0,False,37.0
2024-11-21 20:17:02.150859,98.0,31.0,False,37.0
2024-11-21 20:17:02.262718,99.0,30.0,False,37.0
2024-11-21 20:17:02.370068,100.0,30.0,False,37.0
2024-11-21 20:17:02.481727,101.0,30.0,False,37.0
2024-11-21 20:17:02.583147,102.0,30.0,False,37.0
2024-11-21 20:17:02.686514,103.0,31.0,False,37.0
2024-11-21 20:17:02.788732,104.0,31.0,False,37.0
2024-11-21 20:17:02.893759,105.0,30.0,False,37.0
2024-11-21 20:17:04.127901,105.0,30.0,False,37.0
2024-11-21 20:17:04.238422,104.0,30.0,False,37.0
2024-11-21 20:17:04.338927,103.0,30.0,False,37.0
2024-11-21 20:17:04.439447,102.0,30.0,False,37.0
2024-11-21 20:17:04.552890,101.0,30.0,False,37.0
2024-11-21 20:17:04.664273,100.0,30.0,False,37.0
2024-11-21 20:17:04.773828,99.0,30.0,False,37.0
2024-11-21 20:17:04.884061,98.0,30.0,False,37.0
2024-11-21 20:17:04.995576,97.0,30.0,False,37.0
2024-11-21 20:17:05.120099,96.0,30.0,False,37.0
2024-11-21 20:17:05.230975,95.0,30.0,False,37.0
2024-11-21 20:17:05.342568,94.0,31.0,False,37.0
2024-11-21 20:17:05.452613,93.0,31.0,False,37.0
2024-11-21 20:17:05.561368,92.0,31.0,False,37.0
2024-11-21 20:17:05.662206,91.0,31.0,False,37.0
2024-11-21 20:17:05.769009,90.0,31.0,False,37.0
2024-11-21 20:17:05.878733,90.0,31.0,False,37.0
2024-11-21 20:17:05.989691,89.0,31.0,False,37.0
2024-11-21 20:17:06.100380,88.0,31.0,False,37.0
2024-11-21 20:17:06.200766,87.0,31.0,False,37.0
2024-11-21 20:17:06.308422,86.0,31.0,False,37.0
2024-11-21 20:17:06.433011,85.0,30.0,False,37.0
2024-11-21 20:17:06.544014,84.0,30.0,False,37.0
2024-11-21 20:17:06.652392,83.0,30.0,False,37.0
2024-11-21 20:17:06.763041,82.0,30.0,False,37.0
2024-11-21 20:17:06.874575,81.0,30.0,False,37.0
2024-11-21 20:17:07.001431,80.0,30.0,False,37.0
2024-11-21 20:17:07.109060,79.0,30.0,False,37.0
2024-11-21 20:17:07.209652,78.0,30.0,False,37.0
2024-11-21 20:17:07.317526,77.0,30.0,False,37.0
2024-11-21 20:17:07.427304,76.0,31.0,False,37.0
2024-11-21 20:17:07.538996,75.0,31.0,False,37.0
2024-11-21 20:17:08.801021,75.0,31.0,False,37.0
2024-11-21 20:17:08.915206,76.0,31.0,False,37.0
2024-11-21 20:17:09.026579,77.0,31.0,False,37.0
2024-11-21 20:17:09.137178,78.0,31.0,False,37.0
2024-11-21 20:17:09.246374,79.0,31.0,False,37.0
2024-11-21 20:17:09.372691,80.0,31.0,False,37.0
2024-11-21 20:17:09.475112,81.0,30.0,False,37.0
2024-11-21 20:17:09.580719,82.0,30.0,False,37.0
2024-11-21 20:17:09.690878,83.0,30.0,False,37.0
2024-11-21 20:17:09.802991,84.0,30.0,False,37.0
2024-11-21 20:17:09.901444,85.0,30.0,False,37.0
2024-11-21 20:17:10.010156,86.0,30.0,False,37.0
2024-11-21 20:17:10.117994,87.0,30.0,False,37.0
2024-11-21 20:17:10.230018,88.0,30.0,False,37.0
2024-11-21 20:17:10.340160,89.0,30.0,False,37.0
2024-11-21 20:17:10.451119,90.0,30.0,False,37.0
2024-11-21 20:17:10.560410,90.0,31.0,False,37.0
2024-11-21 20:17:10.675352,91.0,31.0,False,37.0
2024-11-21 20:17:10.782296,92.0,31.0,False,37.0
