timestamp,angle,distance,x,y
2024-11-21 14:45:16.600010,90.0,52.0,3.184081677783118e-15,52.0
2024-11-21 14:45:16.673644,91.0,52.0,-0.9075251347387407,51.992080148132345
2024-11-21 14:45:16.744077,92.0,52.0,-1.8147738285300496,51.96832300499298
2024-11-21 14:45:16.813935,93.0,52.0,-2.7214697246330797,51.92873580723784
2024-11-21 14:45:16.883405,94.0,52.0,-3.627336634694517,51.87333061351086
2024-11-21 14:45:16.956752,95.0,52.0,-4.5320986228782285,51.80212430077077
2024-11-21 14:45:17.026922,96.0,52.0,-5.435480089917985,51.71513855915021
2024-11-21 14:45:17.095611,97.0,52.0,-6.337205857067663,51.61239988534875
2024-11-21 14:45:17.166011,98.0,52.0,-7.237001249923399,51.49393957456166
2024-11-21 14:45:17.239131,99.0,52.0,-8.134592182092002,51.359793710947166
2024-11-21 14:45:17.308894,100.0,52.0,-9.029705238680375,51.21000315663482
2024-11-21 14:45:17.382577,101.0,52.0,-9.92206775958033,51.04461353927853
2024-11-21 14:45:17.452067,102.0,52.0,-10.811407922523486,50.863675238157896
2024-11-21 14:45:17.521792,103.0,52.0,-11.697454825880982,50.66724336883223
2024-11-21 14:45:17.591532,104.0,53.0,-12.821860466782393,51.425673492627816
2024-11-21 14:45:17.665235,105.0,53.0,-13.717409390433605,51.19406879332062
2024-11-21 14:45:17.734993,106.0,52.0,-14.33314250248395,49.98560818879258
2024-11-21 14:45:17.804694,107.0,53.0,-15.495700350305043,50.68415206604088
2024-11-21 14:45:17.878046,108.0,53.0,-16.37790070187221,50.40599536364314
2024-11-21 14:45:17.947885,109.0,52.0,-16.929544031772146,49.166965931164476
2024-11-21 14:45:18.017469,110.0,52.0,-17.785047452934773,48.86401628086724
2024-11-21 14:45:18.086509,111.0,52.0,-18.635133376355615,48.54618217785449
2024-11-21 14:45:18.161333,112.0,52.0,-19.47954285762743,48.21356043747295
2024-11-21 14:45:18.231108,113.0,52.0,-20.31801868144224,47.86625237952689
2024-11-21 14:45:18.300107,114.0,52.0,-21.150305439941615,47.504363797415245
2024-11-21 14:45:18.373982,115.0,52.0,-21.976149610516366,47.1280049259058
2024-11-21 14:45:18.443763,115.0,52.0,-21.976149610516366,47.1280049259058
2024-11-21 14:45:18.512977,114.0,52.0,-21.150305439941615,47.504363797415245
2024-11-21 14:45:18.583181,113.0,52.0,-20.31801868144224,47.86625237952689
2024-11-21 14:45:18.656776,112.0,53.0,-19.85414945104334,49.140744292039734
2024-11-21 14:45:18.725682,111.0,52.0,-18.635133376355615,48.54618217785449
2024-11-21 14:45:18.795907,110.0,52.0,-17.785047452934773,48.86401628086724
2024-11-21 14:45:18.869623,109.0,52.0,-16.929544031772146,49.166965931164476
