timestamp,angle,distance,x,y
2024-11-20 20:28:34.725351,0.0,47.0,47.0,0.0
2024-11-20 20:28:34.855208,1.0,47.0,46.99284167235039,0.820263102552325
2024-11-20 20:28:34.974478,2.0,47.0,46.9713688698975,1.6402763450175455
2024-11-20 20:28:35.090221,3.0,47.0,46.93558813346497,2.45978994341836
2024-11-20 20:28:35.215398,4.0,46.0,45.887946311951914,3.208797792229764
2024-11-20 20:28:35.330758,5.0,46.0,45.82495611222029,4.009164166392275
2024-11-20 20:28:35.447183,6.0,46.0,45.74800718694057,4.80830931031206
2024-11-20 20:28:35.572624,7.0,46.0,45.65712297550081,5.605989796636784
2024-11-20 20:28:35.690322,8.0,46.0,45.55233116211224,6.40196264416301
2024-11-20 20:28:35.817483,9.0,46.0,45.43366366737634,7.19598539185062
2024-11-20 20:28:35.939668,10.0,46.0,45.30115663856157,7.987816172678795
2024-11-20 20:28:36.059811,11.0,46.0,45.15485043859254,8.777213787321061
2024-11-20 20:28:36.180218,12.0,46.0,44.99478963375506,9.56393777761693
2024-11-20 20:28:36.296330,13.0,45.0,43.84665291533559,10.122797445473925
2024-11-20 20:28:36.411681,14.0,45.0,43.66330768241984,10.886485301985047
2024-11-20 20:28:36.542153,15.0,45.0,43.466662183008076,11.646857029613432
2024-11-20 20:28:36.659483,16.0,45.0,43.25677631722435,12.403681011764963
2024-11-20 20:28:36.775433,17.0,45.0,43.033714018336596,13.156726712523154
2024-11-20 20:28:36.893489,18.0,45.0,42.79754323328191,13.905764746872633
2024-11-20 20:28:37.026258,19.0,45.0,42.54833590196926,14.65056695057205
2024-11-20 20:28:37.143493,20.0,45.0,42.28616793536588,15.390906449655093
2024-11-20 20:28:37.262950,21.0,44.0,41.077538765876874,15.768189779993211
2024-11-20 20:28:37.379989,22.0,45.0,41.723273455505435,16.85729670371604
2024-11-20 20:28:37.505497,23.0,46.0,42.34322325881226,17.973631910506594
2024-11-20 20:28:37.626829,24.0,46.0,42.02309105155964,18.70988558148681
2024-11-20 20:28:37.743612,25.0,46.0,41.6901582036859,19.440440040072176
2024-11-20 20:28:37.860918,26.0,46.0,41.34452612976168,20.16507275229756
2024-11-20 20:28:37.988144,27.0,46.0,40.98630011266492,20.88356298801915
2024-11-20 20:28:38.130148,28.0,46.0,40.61558927151064,21.595691888150977
2024-11-20 20:28:38.262171,29.0,47.0,41.1071262355516,22.78605215157784
2024-11-20 20:28:38.340103,30.0,47.0,40.70319397786862,23.499999999999996
2024-11-20 20:28:38.466062,31.0,47.0,40.28686313299928,24.206789520772546
2024-11-20 20:28:38.588964,32.0,47.0,39.85826051935202,24.90620541896063
2024-11-20 20:28:38.708889,33.0,47.0,39.41751669343493,25.598034645706274
2024-11-20 20:28:38.830830,34.0,48.0,39.793803482642005,26.84125936659585
2024-11-20 20:28:38.954417,35.0,59.0,48.32997061305051,33.84100974471172
2024-11-20 20:28:39.073778,36.0,48.0,38.83281572999748,28.21369211003871
2024-11-20 20:28:42.107273,53.0,66.0,39.719791528035195,52.70994366312133
2024-11-20 20:28:42.240829,54.0,134.0,78.7632238071914,108.40827724624296
2024-11-20 20:28:42.506256,56.0,36.0,20.130944524946884,29.845352611981504
2024-11-20 20:28:42.615080,57.0,36.0,19.607005260540976,30.192140446035268
2024-11-20 20:28:42.740198,58.0,36.0,19.077093512395376,30.52973146163134
2024-11-20 20:28:42.857665,59.0,36.0,18.54137069676195,30.858022825276045
2024-11-20 20:28:42.981322,60.0,36.0,18.000000000000004,31.17691453623979
2024-11-20 20:28:43.090745,61.0,36.0,17.453146328868137,31.486309457018248
2024-11-20 20:28:43.224095,62.0,33.0,15.492561571934399,29.137270564344586
2024-11-20 20:28:43.341727,63.0,33.0,14.981686491405044,29.403215298216136
2024-11-20 20:28:43.460736,64.0,33.0,14.466247844039556,29.66020352787251
2024-11-20 20:28:43.575360,65.0,33.0,13.946402637443082,29.908156972209447
2024-11-20 20:28:43.696970,66.0,33.0,13.422309221501408,30.14700010220583
2024-11-20 20:28:43.810239,67.0,32.0,12.503396111656759,29.456155310478092
2024-11-20 20:28:43.939374,68.0,32.0,11.987410989309183,29.669883346137198
2024-11-20 20:28:44.058308,69.0,32.0,11.467774385449612,29.874573647910456
2024-11-20 20:28:44.180683,70.0,32.0,10.944644586421402,30.070163865149066
2024-11-20 20:28:44.304320,71.0,31.0,10.09261278817186,29.31107584357882
2024-11-20 20:28:44.414715,72.0,31.0,9.579526825623372,29.48275200514976
2024-11-20 20:28:44.541546,73.0,31.0,9.06352284640484,29.6454474348541
2024-11-20 20:28:44.657288,74.0,31.0,8.544758030326975,29.799112574087886
2024-11-20 20:28:44.776203,75.0,31.0,8.023390398178144,29.943700614961116
2024-11-20 20:28:44.894788,76.0,31.0,7.499578763589698,30.07916751455589
2024-11-20 20:28:45.015485,77.0,31.0,6.973482684659812,30.205472008342294
2024-11-20 20:28:45.140336,78.0,31.0,6.445262415350543,30.322575622747973
2024-11-20 20:28:45.257436,79.0,31.0,5.915078856672892,30.430442686877583
2024-11-20 20:28:45.365820,80.0,30.0,5.209445330007912,29.544232590366242
2024-11-20 20:28:45.491151,81.0,30.0,4.693033951206928,29.630650217854132
2024-11-20 20:28:45.614650,82.0,30.0,4.175193028801964,29.70804206224711
2024-11-20 20:28:45.735158,83.0,30.0,3.656080302154425,29.77638454923966
2024-11-20 20:28:45.856278,84.0,30.0,3.1358538980296036,29.8356568610482
2024-11-20 20:28:45.973853,85.0,30.0,2.614672282429744,29.885840942752367
