timestamp,angle,raw_distance,filtered_distance,is_gap,confidence,baseline_distance,threshold,anomaly_score,validation_score,precision,recall,f1_score,temporal_consistency,spatial_consistency,cluster_confidence,prediction_confidence
2024-11-22 20:31:42.926504,97.0,31.0,30.9,False,0.952,29.8,8.0,-0.544,0.000,0.000,0.000,0.000,0.974,0.000,0.751,0.500
2024-11-22 20:31:43.173878,96.0,31.0,31.0,False,0.952,29.8,8.0,-0.544,0.000,0.000,0.000,0.000,0.963,0.000,0.750,0.500
2024-11-22 20:31:43.518031,95.0,31.0,31.0,False,0.951,29.8,31.1,-0.544,0.000,0.000,0.000,0.000,0.952,0.000,0.748,0.500
2024-11-22 20:31:43.801824,94.0,30.0,30.7,False,0.835,29.8,31.2,-0.544,0.000,0.000,0.000,0.000,0.895,0.000,0.728,0.500
2024-11-22 20:31:44.083405,93.0,29.0,29.7,False,0.833,29.8,31.2,-0.544,0.000,0.000,0.000,0.000,0.836,0.000,0.717,0.500
2024-11-22 20:31:44.370895,92.0,29.0,29.0,False,0.953,29.8,31.4,-0.544,0.000,0.000,0.000,0.000,0.867,0.000,0.732,0.500
2024-11-22 20:31:44.671710,91.0,29.0,29.1,False,0.949,29.8,31.7,-0.544,0.000,0.000,0.000,0.000,0.921,0.000,0.741,0.500
2024-11-22 20:31:44.972518,90.0,29.0,29.3,False,0.951,29.8,32.0,-0.544,0.000,0.000,0.000,0.000,0.940,0.000,0.743,0.500
2024-11-22 20:31:45.281161,89.0,29.0,29.3,False,0.944,29.8,30.6,-0.544,0.000,0.000,0.000,0.000,0.944,0.000,0.743,0.500
2024-11-22 20:31:45.584694,88.0,30.0,29.4,False,0.832,29.8,30.5,-0.544,0.000,0.000,0.000,0.000,0.905,0.000,0.732,0.500
2024-11-22 20:31:46.106845,87.0,30.0,30.0,False,0.953,29.8,30.5,-0.544,0.000,0.000,0.000,0.000,0.902,0.000,0.740,0.500
2024-11-22 20:31:46.531994,86.0,30.0,30.0,False,0.955,29.8,30.5,-0.544,0.000,0.000,0.000,0.000,0.928,0.000,0.745,0.500
2024-11-22 20:31:46.885962,85.0,30.0,30.0,False,0.955,29.8,30.5,-0.544,0.000,0.000,0.000,0.000,0.955,0.000,0.750,0.500
2024-11-22 20:31:47.249252,84.0,30.0,30.0,False,0.955,29.8,30.5,-0.544,0.000,0.000,0.000,0.000,0.955,0.000,0.751,0.500
2024-11-22 20:31:47.649280,83.0,22.0,27.3,False,0.518,29.8,30.5,-0.544,0.000,0.000,0.000,0.000,0.776,0.000,0.647,0.500
2024-11-22 20:31:48.066578,82.0,21.0,21.7,False,0.801,29.8,30.8,-0.544,0.000,0.000,0.000,0.000,0.694,0.000,0.674,0.500
2024-11-22 20:31:48.445155,81.0,21.0,21.0,False,0.945,29.8,30.8,-0.544,0.000,0.000,0.000,0.000,0.779,0.000,0.700,0.500
2024-11-22 20:31:48.815702,80.0,20.0,20.7,False,0.814,29.8,30.9,-0.544,0.000,0.000,0.000,0.000,0.853,0.000,0.704,0.500
2024-11-22 20:31:49.282504,79.0,21.0,20.3,False,0.813,29.8,32.1,-0.544,0.000,0.000,0.000,0.000,0.830,0.000,0.699,0.500
2024-11-22 20:31:49.713291,78.0,21.0,21.0,False,0.946,29.8,29.5,-0.544,0.000,0.000,0.000,0.000,0.863,0.000,0.716,0.500
2024-11-22 20:31:50.144942,77.0,20.0,20.7,False,0.814,29.8,23.1,-0.544,0.000,0.000,0.000,0.000,0.857,0.000,0.705,0.500
2024-11-22 20:31:50.584860,76.0,20.0,20.0,False,0.945,29.8,22.5,-0.544,0.000,0.000,0.000,0.000,0.882,0.000,0.719,0.500
2024-11-22 20:31:51.061402,75.0,20.0,20.0,False,0.948,29.8,22.0,-0.544,0.000,0.000,0.000,0.000,0.917,0.000,0.726,0.500
2024-11-22 20:31:51.549193,76.0,20.0,20.0,False,0.962,29.8,21.8,-0.544,0.000,0.000,0.000,0.000,0.951,0.000,0.732,0.500
2024-11-22 20:31:52.049154,77.0,27.0,22.0,False,0.562,29.8,21.8,-0.544,0.000,0.000,0.000,0.000,0.801,0.000,0.646,0.500
2024-11-22 20:31:52.549157,78.0,27.0,26.6,False,0.797,29.8,21.8,-0.544,0.000,0.000,0.000,0.000,0.734,0.000,0.694,0.500
2024-11-22 20:31:53.113047,79.0,20.0,24.6,False,0.573,29.8,22.0,-0.544,0.000,0.000,0.000,0.000,0.654,0.000,0.624,0.500
2024-11-22 20:31:53.621518,80.0,20.0,20.1,False,0.928,29.8,21.6,-0.544,0.000,0.000,0.000,0.000,0.743,0.000,0.690,0.500
2024-11-22 20:31:54.156664,81.0,20.0,20.1,False,0.924,29.8,20.8,-0.544,0.000,0.000,0.000,0.000,0.841,0.000,0.709,0.500
2024-11-22 20:31:54.671371,82.0,21.0,20.4,False,0.803,29.8,20.8,-0.544,0.000,0.000,0.000,0.000,0.872,0.000,0.709,0.500
2024-11-22 20:31:55.228265,83.0,21.0,21.1,False,0.862,29.8,20.9,-0.544,0.000,0.000,0.000,0.000,0.840,0.000,0.710,0.500
2024-11-22 20:31:55.804149,84.0,21.0,21.6,False,0.746,29.8,22.7,-0.544,0.000,0.000,0.000,0.000,0.803,0.000,0.697,0.500
2024-11-22 20:31:56.398964,85.0,21.0,21.8,False,0.738,29.8,23.3,-0.544,0.000,0.000,0.000,0.000,0.775,0.000,0.689,0.500
2024-11-22 20:31:57.007134,86.0,21.0,21.8,False,0.737,29.8,22.9,-0.544,0.000,0.000,0.000,0.000,0.747,0.000,0.683,0.500
2024-11-22 20:31:57.666113,87.0,22.0,22.1,False,0.775,29.8,22.7,-0.544,0.000,0.000,0.000,0.000,0.742,0.000,0.693,0.500
2024-11-22 20:31:58.301423,88.0,30.0,24.9,False,0.572,29.8,22.7,-0.544,0.000,0.000,0.000,0.000,0.669,0.000,0.624,0.500
2024-11-22 20:31:58.882885,89.0,30.0,29.9,False,0.934,29.8,22.7,-0.544,0.000,0.000,0.000,0.000,0.730,0.000,0.704,0.500
2024-11-22 20:31:59.522185,90.0,30.0,29.6,False,0.942,29.8,23.4,-0.544,0.000,0.000,0.000,0.000,0.844,0.000,0.723,0.500
2024-11-22 20:32:00.223970,91.0,30.0,29.7,False,0.950,29.8,24.0,-0.544,0.000,0.000,0.000,0.000,0.941,0.000,0.743,0.500
2024-11-22 20:32:00.904391,92.0,31.0,30.0,False,0.800,29.8,29.1,-0.544,0.000,0.000,0.000,0.000,0.887,0.000,0.723,0.500
2024-11-22 20:32:01.614878,93.0,31.0,30.9,False,0.889,29.8,34.2,-0.544,0.000,0.000,0.000,0.000,0.868,0.000,0.730,0.500
2024-11-22 20:32:02.332945,94.0,31.0,31.0,False,0.926,29.8,32.7,-0.544,0.000,0.000,0.000,0.000,0.881,0.000,0.733,0.500
2024-11-22 20:32:03.108848,95.0,30.0,30.8,False,0.837,29.8,32.2,-0.544,0.000,0.000,0.000,0.000,0.883,0.000,0.723,0.500
2024-11-22 20:32:03.893686,96.0,31.0,30.5,False,0.850,29.8,31.5,-0.544,0.000,0.000,0.000,0.000,0.862,0.000,0.723,0.500
2024-11-22 20:32:04.724170,97.0,31.0,31.1,False,0.988,29.8,31.9,-0.544,0.000,0.000,0.000,0.000,0.899,0.000,0.736,0.500
2024-11-22 20:32:05.415615,98.0,31.0,31.0,False,0.952,29.8,31.6,-0.544,0.000,0.000,0.000,0.000,0.943,0.000,0.746,0.500
2024-11-22 20:32:06.179750,99.0,30.0,30.7,False,0.835,29.8,31.5,-0.544,0.000,0.000,0.000,0.000,0.903,0.000,0.729,0.500
2024-11-22 20:32:06.945432,100.0,31.0,30.3,False,0.830,29.8,31.4,-0.544,0.000,0.000,0.000,0.000,0.846,0.000,0.718,0.500
2024-11-22 20:32:07.726019,101.0,31.0,31.0,False,0.950,29.8,31.3,-0.544,0.000,0.000,0.000,0.000,0.877,0.000,0.733,0.500
2024-11-22 20:32:08.540745,102.0,30.0,30.7,False,0.835,29.8,31.3,-0.544,0.000,0.000,0.000,0.000,0.869,0.000,0.722,0.500
2024-11-22 20:32:09.388729,103.0,30.0,30.0,False,0.952,29.8,31.4,-0.544,0.000,0.000,0.000,0.000,0.893,0.000,0.738,0.500
2024-11-22 20:32:10.145841,104.0,30.0,30.0,False,0.955,29.8,31.4,-0.544,0.000,0.000,0.000,0.000,0.928,0.000,0.745,0.500
2024-11-22 20:32:10.940515,105.0,30.0,30.0,False,0.955,29.8,31.6,-0.544,0.000,0.000,0.000,0.000,0.955,0.000,0.750,0.500
2024-11-22 20:32:11.756161,104.0,30.0,30.1,False,0.981,29.8,31.2,-0.544,0.000,0.000,0.000,0.000,0.962,0.000,0.751,0.500
2024-11-22 20:32:12.572545,103.0,30.0,30.1,False,0.989,29.8,30.7,-0.544,0.000,0.000,0.000,0.000,0.975,0.000,0.753,0.500
2024-11-22 20:32:13.418072,102.0,30.0,30.1,False,0.973,29.8,30.3,-0.544,0.000,0.000,0.000,0.000,0.979,0.000,0.754,0.500
2024-11-22 20:32:14.240039,101.0,30.0,30.1,False,0.952,29.8,30.2,-0.544,0.000,0.000,0.000,0.000,0.967,0.000,0.750,0.500
2024-11-22 20:32:15.183267,100.0,30.0,30.2,False,0.938,29.8,30.1,-0.544,0.000,0.000,0.000,0.000,0.951,0.000,0.747,0.500
2024-11-22 20:32:16.149221,99.0,30.0,30.1,False,0.961,29.8,30.1,-0.544,0.000,0.000,0.000,0.000,0.946,0.000,0.747,0.500
2024-11-22 20:32:17.034555,98.0,30.0,30.1,False,0.953,29.8,30.1,-0.544,0.000,0.000,0.000,0.000,0.951,0.000,0.747,0.500
2024-11-22 20:32:17.980321,97.0,31.0,30.4,False,0.883,29.8,30.1,-0.544,0.000,0.000,0.000,0.000,0.925,0.085,0.735,0.500
2024-11-22 20:32:19.026034,96.0,31.0,31.1,False,0.982,29.8,30.2,-0.544,0.000,0.000,0.000,0.000,0.931,0.274,0.743,0.500
2024-11-22 20:32:20.029333,95.0,31.0,30.9,False,0.943,29.8,30.2,-0.544,0.000,0.000,0.000,0.000,0.934,0.104,0.743,0.500
2024-11-22 20:32:21.062827,94.0,31.0,30.8,False,0.908,29.8,30.3,-0.544,0.000,0.000,0.000,0.000,0.922,0.159,0.740,0.500
2024-11-22 20:32:22.067679,93.0,29.0,30.9,False,0.820,29.8,30.7,-0.544,0.000,0.000,0.000,0.000,0.880,0.630,0.707,0.500
2024-11-22 20:32:23.113727,92.0,29.0,30.0,False,0.913,29.8,30.8,-0.544,0.000,0.000,0.000,0.000,0.879,0.500,0.720,0.500
2024-11-22 20:32:24.144562,91.0,29.0,29.8,False,0.925,29.8,31.2,-0.544,0.000,0.000,0.000,0.000,0.894,0.287,0.727,0.500
2024-11-22 20:32:25.145001,90.0,29.0,29.4,False,0.961,29.8,31.3,-0.544,0.000,0.000,0.000,0.000,0.930,0.185,0.739,0.500
2024-11-22 20:32:26.256523,89.0,29.0,29.5,False,0.954,29.8,31.5,-0.544,0.000,0.000,0.000,0.000,0.951,0.279,0.743,0.500
2024-11-22 20:32:27.310661,88.0,28.0,29.2,False,0.832,29.8,31.8,-0.544,0.000,0.000,0.000,0.000,0.916,2.236,0.725,0.500
2024-11-22 20:32:28.375225,87.0,30.0,27.5,False,0.736,29.8,31.6,-0.544,0.000,0.000,0.000,0.000,0.816,3.954,0.685,0.500
2024-11-22 20:32:29.456933,86.0,30.0,25.9,False,0.648,29.8,31.3,-0.544,0.000,0.000,0.000,0.000,0.713,4.093,0.644,0.500
2024-11-22 20:32:30.555554,85.0,30.0,25.6,False,0.606,29.8,31.2,-0.544,0.000,0.000,0.000,0.000,0.651,4.093,0.628,0.500
2024-11-22 20:32:31.750373,84.0,22.0,24.0,False,0.498,29.8,31.4,-0.544,0.000,0.000,0.000,0.000,0.570,4.196,0.636,0.500
2024-11-22 20:32:32.777151,83.0,21.0,20.2,False,0.667,29.8,31.7,-0.544,0.000,0.000,0.000,0.000,0.572,3.109,0.646,0.500
2024-11-22 20:32:33.904077,82.0,21.0,20.9,False,0.751,29.8,32.6,-0.544,0.000,0.000,0.000,0.000,0.650,0.623,0.672,0.500
2024-11-22 20:32:35.070042,81.0,21.0,20.8,False,0.764,29.8,33.3,-0.544,0.000,0.000,0.000,0.000,0.728,0.441,0.687,0.500
2024-11-22 20:32:36.220469,80.0,21.0,20.6,False,0.741,29.8,33.5,-0.544,0.000,0.000,0.000,0.000,0.749,0.290,0.687,0.500
2024-11-22 20:32:37.383720,79.0,21.0,20.7,False,0.737,29.8,24.5,-0.544,0.000,0.000,0.000,0.000,0.743,2.156,0.687,0.500
2024-11-22 20:32:38.505201,78.0,20.0,21.7,False,0.645,29.8,23.2,-0.544,0.000,0.000,0.000,0.000,0.676,2.778,0.657,0.500
2024-11-22 20:32:39.736706,77.0,20.0,23.4,False,0.605,29.8,23.2,-0.544,0.000,0.000,0.000,0.000,0.624,0.666,0.630,0.500
2024-11-22 20:32:40.937116,76.0,20.0,22.1,False,0.608,29.8,22.2,-0.544,0.000,0.000,0.000,0.000,0.603,0.019,0.638,0.500
2024-11-22 20:32:42.146921,75.0,20.0,20.0,False,0.798,29.8,21.8,-0.544,0.000,0.000,0.000,0.000,0.674,0.000,0.676,0.500
2024-11-22 20:32:43.380898,76.0,27.0,21.2,False,0.546,29.8,21.5,-0.544,0.000,0.000,0.000,0.000,0.663,0.998,0.609,0.500
2024-11-22 20:32:44.637929,77.0,24.0,24.0,False,0.640,29.8,22.2,-0.544,0.000,0.000,0.000,0.000,0.633,1.104,0.675,0.500
2024-11-22 20:32:45.846392,78.0,27.0,23.6,False,0.589,29.8,23.3,-0.544,0.000,0.000,0.000,0.000,0.604,2.468,0.626,0.500
2024-11-22 20:32:47.114939,79.0,27.0,24.6,False,0.622,29.8,25.4,-0.544,0.000,0.000,0.000,0.000,0.627,1.955,0.643,0.500
2024-11-22 20:32:48.409915,80.0,20.0,23.4,False,0.586,29.8,25.7,-0.544,0.000,0.000,0.000,0.000,0.602,0.261,0.625,0.500
2024-11-22 20:32:49.805184,81.0,20.0,20.5,False,0.775,29.8,25.7,-0.544,0.000,0.000,0.000,0.000,0.663,0.384,0.669,0.500
2024-11-22 20:32:51.060337,82.0,20.0,20.4,False,0.765,29.8,26.2,-0.544,0.000,0.000,0.000,0.000,0.728,0.513,0.683,0.500
2024-11-22 20:32:52.372680,83.0,21.0,20.5,False,0.694,29.8,24.7,-0.544,0.000,0.000,0.000,0.000,0.735,3.163,0.683,0.500
2024-11-22 20:32:53.707775,84.0,21.0,20.4,False,0.624,29.8,22.9,-0.544,0.000,0.000,0.000,0.000,0.677,3.533,0.670,0.500
2024-11-22 20:32:54.992439,85.0,21.0,21.2,False,0.584,29.8,24.6,-0.544,0.000,0.000,0.000,0.000,0.608,3.345,0.663,0.500
